id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6591611430616593,0.2723146939847312,1-to-1,0.10365850393043857,-0.12085002966619801,16515.0,1.0,10.842025307341636
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.2876929699478417,0.11885259451670038,1-to-1,-0.0018975773068021567,-0.012978818752349587,18093.0,1.0,9.574255793033096
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.518592781711457,0.255199141067721,4-to-1,0.037490255419744024,-0.027721257318041467,19958.0,1.0,19.468997235371624
3,Matrix A,WebServer,1.0,0.7324178498227348,0.7709129288939737,0.6500456006146497,1-to-1,0.2675857521608118,-0.08244835207479465,28648.0,1.0,16.416433351517888
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36424945734588,0.3060586524838771,1-to-1,0.0647215173866238,-0.04447346362851578,26735.0,1.0,9.985706847679083
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6166364382169393,0.4973821265629491,4-to-1,0.4196247809498581,-0.33129961616485204,6429.0,1.0,13.579162605950382
6,Matrix B,WebServer,1.0,0.6901726291402162,0.6980250363758499,0.5628282178238886,4-to-1,0.20259588534505527,-0.005958415329526908,23415.0,0.0,9.296544092236015
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7273665617621711,0.5849663040293989,1-to-1,0.10339507436746354,0.14469453740462407,17968.0,0.0,15.656935779456049
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.2617718317237643,0.16821283993102365,4-to-1,1.1889214380038817,0.03192235056382258,8406.0,1.0,15.751621803915059
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5565187674786835,0.3623877336782236,4-to-1,0.22970533755465708,-0.1418384610422695,27455.0,1.0,18.799794096452104
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.294553895043232,0.12746598855620228,2-to-1,-0.018646107435828004,-0.01933465971504281,19531.0,0.0,12.454037012200704
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.37110609088770635,0.16059337707059548,2-to-1,0.01527826008675209,-0.0008988911493815519,27864.0,0.0,14.903275970025552
12,Matrix C,WebServer,2.0,0.7383383855483423,0.7700406156740287,0.325269561911615,2-to-1,0.16006379868444678,-0.12074061327983474,19788.0,1.0,19.153339865427032
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.591899435235281,0.47742913258870195,4-to-1,0.16144231725870442,0.053989998660405436,22644.0,1.0,13.038465323034517
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.2689847849388525,0.11112382786220588,1-to-1,1.1665717740067312,-0.03685735847214857,6349.0,0.0,11.407559115199604
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6529370250217466,0.5822289599255619,2-to-1,0.1625982824814439,-0.19652412626771656,17281.0,0.0,16.278272869565306
16,Matrix A,WebServer,1.0,0.409306522776384,0.43076241555513783,0.38411778418386383,2-to-1,0.18254817799643883,-0.19995000959967088,11648.0,1.0,11.114893530938973
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2636001839279914,0.21635238788597794,2-to-1,0.04735802892172506,-0.1493224202840211,17278.0,1.0,7.588102318692224
18,Matrix A,WebServer,2.0,0.27197601043687214,0.28589346871728827,0.24106773643888035,1-to-1,0.19559569419446948,-0.055396526846388176,12810.0,0.0,11.733405857216574
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.48174592848983067,0.19638509844413576,1-to-1,0.00566311103827951,-0.06829396747734608,22492.0,1.0,15.081173818367605
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.42440217298756777,0.27635751141884735,4-to-1,0.10357349910082901,-0.14741086931289157,28487.0,1.0,19.084166895104772
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26395187509410795,0.11422319397691946,2-to-1,0.15079190404771098,0.03543631984693068,10015.0,0.0,12.00482382300211
22,Matrix C,WebServer,2.0,0.30340988002115266,0.31639692836361577,0.13364787284713586,2-to-1,0.062138569396074116,-0.05758606815704037,19274.0,0.0,15.368692787467303
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.2808672646686301,0.13558122383584428,4-to-1,0.01572938953484991,0.011332066098666986,23596.0,1.0,14.740247727469267
24,Matrix B,WebServer,2.0,0.349409375763963,0.355573105867268,0.2918400487346142,2-to-1,0.06419940740749215,-0.1321262779267491,18725.0,1.0,12.701963351613218
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6402723654149143,0.5687675531344533,2-to-1,0.21030825748351822,0.09284683926968851,28923.0,1.0,10.49424695585261
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.3112208616284272,0.2738521446107536,1-to-1,0.6418322715256803,-0.04867860191426119,8668.0,1.0,11.43167401031733
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.3301038370380885,0.2662639933089211,4-to-1,0.4316486722550215,-0.23847307664316678,8407.0,0.0,6.45498436465269
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.39594782279670027,0.25443344037129006,4-to-1,0.06554862770158192,-0.1023974883441991,19818.0,0.0,16.22151448022536
29,Matrix B,WebServer,1.0,0.518351058647661,0.5279212290725441,0.43329652855480877,2-to-1,0.08863070677282557,-0.013348691581060087,26555.0,0.0,5.672534556192414
30,Matrix C,WebServer,2.0,0.2625526151749801,0.2738085183549648,0.13110418254979775,4-to-1,0.023191833174386143,0.028450015715691515,18890.0,0.0,9.252640755757962
31,Matrix C,WebServer,2.0,0.47527916957783684,0.49555750161971035,0.20020120887630471,1-to-1,0.8015358944392685,-0.11385067794948085,5421.0,0.0,10.318245484412259
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5700449226534888,0.46679303412940476,2-to-1,0.35739972068608233,-0.2476756178169504,6891.0,0.0,6.631751138539472
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.28370501457520436,0.23231775350304748,2-to-1,-0.015954424543242033,-0.1667789825728061,18904.0,0.0,8.06530026043863
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.3992011546042259,0.16273548651023315,1-to-1,0.030079215759453482,-0.07787602182762834,18968.0,1.0,15.954379008469214
35,Matrix A,WebServer,2.0,0.2630220239195611,0.2765106385322609,0.24656665998860022,2-to-1,0.2989141356353565,-0.06634610119316094,11785.0,1.0,8.598104830441699
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4268745738592954,0.274310178057828,4-to-1,0.23571983166283142,-0.1232994387391463,11850.0,0.0,14.048621665503703
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6256956632566842,0.2550666174024014,1-to-1,0.04689207131020355,-0.016112367466085274,25225.0,1.0,18.749047615206138
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7059739488900355,0.3007508890208525,2-to-1,0.15680768871107006,-0.05258546296988453,7027.0,0.0,5.749937557343069
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.2706457266553935,0.2514692270127066,2-to-1,0.06095884780528233,-0.09651352207244802,27956.0,1.0,18.493064311980657
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5322486129328099,0.2267424226861392,2-to-1,0.033831639798079495,-0.08643093712997829,7980.0,0.0,13.050490648328248
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33254577055776346,0.21369409093095804,4-to-1,0.06012603910466275,-0.2702380271610162,27481.0,1.0,15.120769488358013
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5618630293742494,0.24314201128375607,2-to-1,0.054536259082921666,-0.01075147675346412,15277.0,1.0,10.133354830186171
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5130852672169132,0.20728228393453274,1-to-1,0.025972586707501067,-0.058283192845765455,29742.0,1.0,6.831783201957377
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.29401569113025033,0.23901979139944232,4-to-1,0.2520438306827537,0.020395309199104827,10606.0,0.0,7.070152882073373
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.3194482932912132,0.2576686384368904,4-to-1,1.4564047594121847,-0.057306041693093605,6097.0,1.0,5.638549954473231
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5000982817941234,0.42020840161439726,1-to-1,0.020443594677739346,-0.08334648446013627,17948.0,1.0,16.707330256766706
47,Matrix A,WebServer,2.0,0.6494533494271933,0.661196684703691,0.4248853449951434,4-to-1,0.25987201458223635,-0.16517207211805504,19869.0,0.0,7.6422318484728695
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.543312053562992,0.44334084767759635,1-to-1,0.08561891435966214,0.011865286745285723,17278.0,0.0,7.2150577818649
49,Matrix A,WebServer,2.0,0.2777694326655076,0.2919814117608635,0.2603620672998521,2-to-1,0.11782744569244905,-0.16374626006268114,17303.0,0.0,8.578670077293012
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6563320510802365,0.5514840825776127,1-to-1,0.18507893682005275,0.07996624970833235,21884.0,0.0,12.812887911097647
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.45579321488458013,0.2967978559907346,4-to-1,0.09883921185531563,-0.029967372615004692,15928.0,1.0,13.84754720650898
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6166598019492793,0.2547563724232013,1-to-1,0.0595384478192003,-0.08956862386431033,25178.0,1.0,16.334387792696752
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7440860266512216,0.3073991250465845,1-to-1,0.12630391699821977,-0.24167777834458387,28561.0,1.0,7.489893761891246
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.40320785953282573,0.1665744569426098,1-to-1,0.020828068130763728,-0.08199995788229923,14259.0,1.0,12.174763180141593
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5797191466521132,0.37252783528704475,4-to-1,0.16082475805783675,-0.25056334688028686,29719.0,0.0,12.221380495922972
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5614364979856528,0.49402646430007735,1-to-1,0.22975795737842444,-0.14382949132769055,11622.0,1.0,10.477203993664075
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6182224426056929,0.5062441893227462,2-to-1,0.09295562384032044,-0.149841405407512,12275.0,0.0,13.767284739961978
58,Matrix A,WebServer,1.0,0.46186434056093467,0.48610345191405774,0.40988988347380834,1-to-1,0.32522206512837365,-0.2074641509261483,9649.0,0.0,10.003689915809415
59,Matrix A,WebServer,1.0,0.36963396623102673,0.38888270162775457,0.34677296845412536,2-to-1,0.11452839390517743,-0.2267108922017051,29648.0,1.0,19.971145406787933
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5893622365373935,0.47538357630915967,4-to-1,0.15421473685060136,-0.011406765035810737,15496.0,1.0,7.19913043922122
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.5961395316100478,0.5295584428224889,2-to-1,0.4072627425130398,-0.24033413510017199,7812.0,0.0,6.4176542565562595
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.37933000362954566,0.3059695343681826,4-to-1,0.4013543201984357,-0.09565199479281387,9855.0,1.0,13.331538424462895
63,Matrix B,WebServer,2.0,0.7311332739938902,0.74408901846797,0.6107182231472366,2-to-1,0.1988264228148208,0.05597980141456571,21863.0,0.0,18.44110285228851
64,Matrix A,WebServer,1.0,0.4843775243854434,0.509824451154515,0.4546186743862665,2-to-1,0.14785425521624931,-0.14590190728724622,18713.0,0.0,8.757692746122713
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.3541657616665898,0.28482892602303556,1-to-1,0.04684390629663774,-0.029074756942196057,24187.0,0.0,18.37763972791732
66,Matrix B,WebServer,2.0,0.35548132138250854,0.3618023036509193,0.291637739645032,1-to-1,0.5983041201924534,-0.1266347100671713,8627.0,1.0,11.80176193854978
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.4102431321936032,0.1747670532575838,2-to-1,0.018191997423090335,-0.010713885350318466,20193.0,1.0,12.355145039907509
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2602780435058261,0.2136257091638966,2-to-1,0.24208106304961974,-0.08930480499988354,11988.0,0.0,6.349706180875994
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.35022337901824185,0.14276933655226295,1-to-1,-0.0035685450259695223,-0.07458020004589405,14630.0,0.0,6.0757574962936625
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5153632972063835,0.3311690308663074,4-to-1,0.09748136205712858,-0.1302891814721674,29333.0,1.0,9.655197301058816
71,Matrix A,Hadoop,2.0,0.705462539767861,0.743575178303556,0.660527431417283,2-to-1,0.2600304357101411,-0.17877374453888767,10825.0,0.0,14.93931994266046
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.505433260338382,0.40768507062652964,4-to-1,0.057974960767972934,-0.22490158621018191,12501.0,1.0,17.752948532055697
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7548334585318939,0.6159416820633578,1-to-1,0.1351200338975724,0.08151095923259077,27654.0,1.0,16.54489589551893
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6016357640993555,0.4937984565404442,2-to-1,0.0553643172446381,-0.1224507248896744,16705.0,0.0,17.35664470447471
75,Matrix A,WebServer,1.0,0.34691401838273683,0.36514808084673667,0.32560842479408364,2-to-1,1.0568380067481193,-0.13545093703019068,7035.0,0.0,7.6468301701665125
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5186675108957174,0.333296443444509,4-to-1,0.15258266521277236,-0.2803076550769249,29803.0,1.0,19.33186821685783
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.4751979463886576,0.3877600007051552,1-to-1,0.051545419759618655,-0.012886068863569309,23766.0,1.0,18.672249457601254
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5244935387673176,0.33703606342571235,4-to-1,0.5176349586325244,-0.0708781114818717,9843.0,1.0,14.611858269744122
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5498071678071677,0.2705596877818729,4-to-1,0.07233459832686834,-0.05011797538285799,9245.0,0.0,13.268509386924581
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.7748544133669228,0.651067264100649,1-to-1,0.28212831000187283,-0.10948251405897493,10805.0,0.0,11.532646650049909
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6071164236968127,0.2627250522264428,2-to-1,0.07406876118104534,-0.061101392990177666,20528.0,1.0,13.907358739118544
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.3972237873824608,0.33376793895379164,1-to-1,0.06944426137097004,0.0037457838890355664,25762.0,0.0,6.410939607007657
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5653000142756848,0.2446293165104797,2-to-1,0.09117823769594713,-0.011054263101304583,17529.0,0.0,12.691497014876393
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6578943818213364,0.4227632833926664,4-to-1,0.2336962448759305,-0.15548784797977647,25899.0,1.0,5.500477677319461
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6360154856238712,0.5596482312672021,1-to-1,0.15893054920901512,-0.09323704348918971,19680.0,1.0,6.140553603999248
86,Matrix C,WebServer,2.0,0.308329956610627,0.3215686795100847,0.15397256124575898,4-to-1,1.4599509631587644,0.06174358611073825,5831.0,1.0,5.533181256048275
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.5790179773110095,0.25056566153141907,2-to-1,0.10131712728232392,-0.13932981142109016,8325.0,1.0,16.94196396971197
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5096258664357194,0.21526888186782514,2-to-1,0.06003782591428884,-0.08363428090277174,19091.0,1.0,15.920565079255534
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.5941731523301393,0.4778489329218192,1-to-1,0.13288761130673868,0.007433547453789895,13728.0,1.0,6.185619300294853
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.5915351908614042,0.4970342707730313,1-to-1,0.07659259365380475,-0.048297017409414666,16781.0,1.0,15.116148753283648
91,Matrix C,WebServer,2.0,0.36708612320760126,0.38276271040085785,0.16168115887800572,2-to-1,0.5998334083306383,-0.10201485646921782,6639.0,0.0,11.542602672341253
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38561344399812586,0.3425454010615902,2-to-1,0.09582011252309053,-0.05496002287170211,20508.0,0.0,13.191258241812193
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.36397848980699427,0.2958959855962494,4-to-1,0.07675908119607114,-0.04730284595749317,27666.0,1.0,17.878317194521678
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7263454247233023,0.6034177311426818,2-to-1,0.20154819920549377,-0.014811088872817084,11872.0,0.0,11.514087409020375
